,Location,Reviews,sentiment,confidence
0,Essex,bt disappointment make new order bt black friday gentleman speak extremely polite helpful give good deal nonetheless wait days money back service run day service suppose go live call bt call bt explain engineer book since end november complete work install require equipment service go live tomorrow call present new information engineer try contact build management society since st december obtain response explain advisor phone notify go could make require arrangements sort issue also state days last weeks bt employees conduction researchwork residential area mention fail understand notice something right point bt customer essex send letter receive response build society way contact could send email call ask advisor state receive note engineer minute ago state try contact build management x receive response order cancel ask write letter send swiftly could avoid issue extremely disappoint shock bt level lack professionalism sense responsibility advisor enquire customer could chase build management seek authorization conduct work responsibility work quite outrageous propose clearly say would responsibility duty get require authorizations provide solutions problems tell issue resolve order cancel new order wait days issue resolve bt engineer professional provide good customer service could come better solutions party regret say bt prove bad appal internet providers customers aware lack professionalism customer service skills,NEGATIVE,0.9967964291572571
1,Shrewsbury,receive poor download speed bt decide send engineer ask whether call cancel appointment problem resolve tell engineer arrive problem resolve bt engineer make pass comment rd party extender use game console device connect game console two laptops laptop always use ethernet cable modem issue next month receive bill state engineer employ bt company name qube say extender cause problem speak bt anything state go note rd party engineer effectively charge rd party booster house tell way get refund speak rd party company change note although give contact detail,NEGATIVE,0.9997850060462952
2,Warrigton Cheshire,always helpful today sort problem regard scam call refund cost well do bt,POSITIVE,0.9795417189598083
3,Tamworth,talk complete rubbish tell everything want hear deliver nothink waist time customer service hold ever cut switch definitely,NEGATIVE,0.9998314380645752
4,Sleaford,order broadband th decemberdoes work even th december engineer miss appointsments appointsments succesfull lose much money wait never even get message say show call keep get different excuse get yet another th appointment th hell know show bt staff sure hell notridiculous avoid cost,NEGATIVE,0.9999701976776123
5,RM16,probably worst service provider home lose count many time broadband crash require phone call get restart option find new broadband provider,NEGATIVE,0.9998964071273804
6,york,worst service ever experience switch sky back sky one month absolute garbidge bad bad bad bad star rat deserve,NEGATIVE,0.9999861717224121
7,Reading,pros big company always speak customser service try help send engineer broadband quality generally ok reliable con expensive also hopeless house move something always go wrong,NEGATIVE,0.7901085019111633
8,Dudley,really bad company internet slow point get mg ring tell want hear nothing sort go years sky load better gb minimum bt try say ow money think consider never meet end deal,NEGATIVE,0.9999505281448364
9,London,avoid could rate would activation day th december still internetbooked engineer visit thnobody show call book anotherone forget actually book theappointmentwe suppose another engineervisit today th engineer show call could explain situationworst customer service ever see life agents reply rude manner raise voice us compensation miss time work extra mobile data cost internet almost weeks anybody think switch bt avoid avoid avoid,NEGATIVE,0.9999442100524902
10,Chepstow,try hard manage work speak real person area give bt own entire network ever pay billons shareholders coverage speed shockingly third world also want get rid employees company obviously want would think would make sure fault bot actually work report fault use automate service noone turn check real person record fault shower,NEGATIVE,0.9975337982177734
11,Bardsey,hold hostage incompetence unreliability deplorably poor service bloody terrible bt norm wrongly schedule repair engineer fail show charge per month gaslight try get correct mistake superfastwifi super slow regularly drop yet charge wrongly advertise best service really worst service never get bt simply care treat contempt try upswell complain shock spectacularly open reach service provider us supplier telecomms firm simply corrupt massively inefficient monopoly,NEGATIVE,0.99992835521698
12,Here,terrible speed stuff fine router go time every hours use bt,NEGATIVE,0.9321761131286621
13,"Crawleyside, Stanhope",plan entire house move around bt could connect us find day significant work need cabinet surely know accept business work home connection vital unable work thank bt,NEGATIVE,0.5403327941894531
14,Newtownards,woeful abysmal customer service want return router send new one keep get constant texts return old router phone customer service numerous time get jiffy bag send back bt store local shop centre get proof postage post office texts still keep come final bill return kit absolute joke stay away customer service awful care one bite problems line speed good speed advertise would never return principle please give huge swerve go elsewhere,NEGATIVE,0.9998586177825928
15,Gloucestershire,bt worst customer service ever come across one many offices properly train know problems start keep tell different things engineer either turn appointments knock door come inside check equipment never recommend company always discourage anyone even enemies use bt,NEGATIVE,0.9996811151504517
16,London,overall experience good use gamingheavy browse,POSITIVE,0.9880749583244324
17,TOTNES,bt awful terrible communication want leave offer another contract low price nothing say charge honestly avoid use another,NEGATIVE,0.9999281167984009
18,wakefield,poor service inspite bt many yearsthey start trouble broadband move new provider least week days move absolutely rubbish customer service,NEGATIVE,0.9999492168426514
19,Stockport,shamble company couldnt use broadband due unforseen circumstances bt say problem would send return bag router would charge months phone call later charge return bag send ask return address send kit back wont give one total rip company,NEGATIVE,0.9997684359550476
20,Kirkcaldy,service provide close advertise internet speed shockingly bad periodically go whole weekend complain many time however customer assistants useless unable help slightest one poorest service providers ever would recommend anyone care broadband speed consistency customer care,NEGATIVE,0.9976531863212585
21,"Surrey, UK",exist bt customer look change point internet cable come house part refurb organise date bt weeks ago engineer come give window ampm one ring bt customer service promise engineer way heldup wife stay rest afternoon young boys hold refurb work engineer appear ring bt even understand one appear guidance midday someone way tell book remote service one ever go come absolutely shock service build work heldup even find apology let alone suitable revise date work leave service would strongly recommend anyone assess different suppliers avoid bt service shockingly bad high profile company,NEGATIVE,0.9963604807853699
22,Reading,go deal free fitbit great wifi every room months fitbit help customer service several call email multiple room without wifi even though meter away main hub,POSITIVE,0.8917684555053711
23,Sutton Coldfield,take bt superfibre connection work home worst decision make inordinate delay get connection blokes come vans put one wire road house one work merrily chat away wish virgin available area speed suppose mb hardly get mb call bt insist connection fine connection unstable best often connect devices let alone say ad britain better internet,NEGATIVE,0.9971742630004883
24,york,switch sky b return sky quickly enough whole experience b dire broadbad connect poor set engineer phone line work hours hours phone computer manage provide service bad bad bad,NEGATIVE,0.9927627444267273
25,Peterborough,even put star better deserve absolute worst internet ever internet speed mb lower say test absolutely disgraceful work home need stable connection however impossible anything internet speed show whop mbs sometimes page take years load youtube videos buffer p work friends house last weeks totally unacceptable never ever use bt service absolute joke,NEGATIVE,0.9999765157699585
